run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std
paper_ablate_v2_bad_bapr_Ant_dw60_s0,paper_ablate_v2,bad_bapr,Ant-v2,0,60,300,1499,True,4510.985,4084.244,16526.082,11.922,28.613,2.410,True
paper_ablate_v2_bad_bapr_Ant_dw60_s1,paper_ablate_v2,bad_bapr,Ant-v2,1,60,300,1499,True,1676.397,1007.643,13098.024,7.768,18.642,1.695,True
paper_ablate_v2_bad_bapr_Ant_dw60_s2,paper_ablate_v2,bad_bapr,Ant-v2,2,60,300,1499,True,8904.777,6776.669,21098.591,7.762,18.629,1.652,True
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s0,paper_ablate_v2,bad_bapr,HalfCheetah-v2,0,60,300,1499,True,22041.200,4458.045,26269.432,23.412,56.190,2.281,True
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s1,paper_ablate_v2,bad_bapr,HalfCheetah-v2,1,60,300,1499,True,23774.589,638.601,25219.727,22.181,53.236,2.260,True
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s2,paper_ablate_v2,bad_bapr,HalfCheetah-v2,2,60,300,1499,True,24922.705,462.165,25920.215,23.386,56.126,2.432,True
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s0,paper_ablate_v2,bapr_fixed_decay,Ant-v2,0,60,300,1499,True,1489.127,644.590,5130.533,5.224,12.538,0.656,True
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s1,paper_ablate_v2,bapr_fixed_decay,Ant-v2,1,60,300,1499,True,4229.486,4134.120,16965.062,7.752,18.605,1.292,True
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s2,paper_ablate_v2,bapr_fixed_decay,Ant-v2,2,60,300,1499,True,2848.188,2642.527,17956.320,7.646,18.351,1.297,True
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,0,60,300,1499,True,19479.412,481.396,20734.263,10.320,24.767,0.575,True
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,1,60,300,1499,True,18081.198,458.460,18920.791,22.088,53.010,2.307,True
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,2,60,300,1499,True,15554.687,691.464,17829.289,22.059,52.941,2.332,True
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s0,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,0,60,300,1499,True,4754.064,4166.603,20337.754,11.503,27.608,1.446,True
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s1,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,1,60,300,1499,True,3047.244,1335.177,14782.255,11.384,27.322,1.432,True
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s2,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,2,60,300,1499,True,3323.586,3075.106,17363.930,11.846,28.431,1.479,True
