run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,mode_means,worst_mode,worst_mode_mean,mean_worst_gap,worst_quartile_mean,recovery_n,recovery_median_iters,recovery_mean_iters
paper_ablate_v2_bad_bapr_Ant_dw60_s0,paper_ablate_v2,bad_bapr,Ant-v2,0,60,300,1499,True,4510.985,4084.244,16526.082,11.922,28.613,2.410,True,0:8414.3;1:3864.2;3:2765.1,3,2765.140,2249.395,1293.052,28,4.0,14.0
paper_ablate_v2_bad_bapr_Ant_dw60_s1,paper_ablate_v2,bad_bapr,Ant-v2,1,60,300,1499,True,1676.397,1007.643,13098.024,7.768,18.642,1.695,True,0:1944.9;1:2309.6;2:1514.5;3:1284.0,3,1284.020,479.229,634.270,26,3.5,87.4
paper_ablate_v2_bad_bapr_Ant_dw60_s2,paper_ablate_v2,bad_bapr,Ant-v2,2,60,300,1499,True,8904.777,6776.669,21098.591,7.762,18.629,1.652,True,0:6798.2;1:3619.9;2:13180.6;3:11057.8,1,3619.853,5044.265,2300.240,22,3.0,13.8
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s0,paper_ablate_v2,bad_bapr,HalfCheetah-v2,0,60,300,1499,True,22041.200,4458.045,26269.432,23.412,56.190,2.281,True,0:19970.1;1:25137.6;3:22091.5,0,19970.112,2429.628,17371.080,28,2.0,2.2
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s1,paper_ablate_v2,bad_bapr,HalfCheetah-v2,1,60,300,1499,True,23774.589,638.601,25219.727,22.181,53.236,2.260,True,0:24221.9;1:24119.8;2:23412.0;3:23828.3,2,23412.000,483.512,22956.202,22,2.0,2.1
paper_ablate_v2_bad_bapr_HalfCheetah_dw60_s2,paper_ablate_v2,bad_bapr,HalfCheetah-v2,2,60,300,1499,True,24922.705,462.165,25920.215,23.386,56.126,2.432,True,0:24976.5;1:24862.8;2:25109.4;3:24812.1,3,24812.141,128.100,24358.284,21,2.0,2.2
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s0,paper_ablate_v2,bapr_fixed_decay,Ant-v2,0,60,300,1499,True,1489.127,644.590,5130.533,5.224,12.538,0.656,True,0:1353.8;1:1554.5;3:1536.0,0,1353.792,127.644,808.801,28,3.0,80.8
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s1,paper_ablate_v2,bapr_fixed_decay,Ant-v2,1,60,300,1499,True,4229.486,4134.120,16965.062,7.752,18.605,1.292,True,0:4732.8;1:2620.1;2:5483.7;3:3877.0,1,2620.120,1558.283,1474.762,26,3.0,22.0
paper_ablate_v2_bapr_fixed_decay_Ant_dw60_s2,paper_ablate_v2,bapr_fixed_decay,Ant-v2,2,60,300,1499,True,2848.188,2642.527,17956.320,7.646,18.351,1.297,True,0:2218.5;1:2784.8;2:3797.3;3:2253.7,0,2218.542,545.064,970.230,22,3.5,13.6
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,0,60,300,1499,True,19479.412,481.396,20734.263,10.320,24.767,0.575,True,0:19583.2;1:19398.5;3:19453.3,1,19398.466,79.851,18858.379,28,2.5,3.7
